risk_rank,ac_no,constituency,district,risk_score,winner_party_2022,winner_candidate_2022,winner_pct_2022,runnerup_party_2022,runnerup_candidate_2022,runnerup_pct_2022,margin_votes_2022,margin_pct_2022,margin_pct_2017,margin_trend,seat_turnover,closeness_score,trend_score,turnover_score
133,1,Behat,Saharanpur,69.56,SP,Umar Ali Khan,47.81,BJP,Naresh Saini,34.34,37880.0,13.469999999999999,10.189999999999998,-3.280000000000001,True,73.06,43.44,100.0
134,249,Patti,Pratapgarh,69.53,SP,Ram Singh Patel,48.73,BJP,Rajendra Pratap Singh,38.79,22051.0,9.939999999999998,0.7199999999999989,-9.219999999999999,True,80.12,31.560000000000002,100.0
135,52,Baghpat,Baghpat,69.48,BJP,Chaudhary Yogesh Dhama,47.37,RLD,Mohd Ahmed Hameed,44.22,6733.0,3.1499999999999986,15.86,12.71,False,93.7,75.42,0.0
136,4,Saharanpur,Saharanpur,69.2,SP,Ashu Malik,41.18,BJP,Jagpal Singh,29.35,30745.0,11.829999999999998,5.209999999999997,-6.620000000000001,True,76.34,36.76,100.0
137,308,Kaptanganj,Basti,69.14,SP,Kavindra Chaudhary,43.66,BJP,Chandra Prakash Shukla,32.46,24179.0,11.199999999999996,3.4299999999999997,-7.769999999999996,True,77.60000000000001,34.46000000000001,100.0
138,287,Payagpur,Bahraich,68.89,BJP,Subhash Tripathi,47.77,SP,Mukesh Srivastava,42.54,12056.0,5.230000000000004,20.43,15.199999999999996,False,89.53999999999999,80.39999999999999,0.0
139,274,Bikapur,Ayodhya,68.73,BJP,Amit Singh Chauhan,44.24,SP,Firoz Khan,42.04,5560.0,2.200000000000003,12.080000000000002,9.879999999999999,False,95.6,69.75999999999999,0.0
140,197,Tirwa,Kannauj,68.71,BJP,Kailash Singh Rajput,44.51,SP,Anil Kumar Pal,42.57,4608.0,1.9399999999999977,11.36,9.420000000000002,False,96.12,68.84,0.0
141,49,Meerut South,Meerut,68.61,BJP,Somendra Tomar,43.46,SP,Md Adil,40.79,7942.0,2.6700000000000017,13.14,10.469999999999999,False,94.66,70.94,0.0
142,111,Gunnaur,Sambhal,68.45,SP,Ramkhiladi Singh Yadav,51.38,BJP,Ajeet Kumar Yadav,39.14,29529.0,12.240000000000002,5.059999999999995,-7.180000000000007,True,75.52,35.639999999999986,100.0
143,181,Salon (SC),Raebareli,68.39,BJP,Ashok Kori,43.79,SP,Jagdish Prasad,42.73,1511.0,1.0600000000000023,8.469999999999999,7.409999999999997,False,97.88,64.82,0.0
144,157,Gopamau (SC),Hardoi,68.37,BJP,Shyam Prakash,43.07,SP,Rajeshwari,39.32,7998.0,3.75,15.619999999999997,11.869999999999997,False,92.5,73.74,0.0
145,345,Sagri,Azamgarh,68.3,SP,Hriday Narayan Singh Patel,42.76,BJP,Smt. Vandana Singh,31.17,22515.0,11.589999999999996,3.0699999999999967,-8.52,True,76.82000000000001,32.96,100.0
146,106,Jalesar,Etah,67.98,BJP,Sanjeev Kumar Diwakar,45.1,SP,Ranjeet Suman,42.91,4441.0,2.190000000000005,10.799999999999997,8.609999999999992,False,95.61999999999999,67.21999999999998,0.0
147,5,Deoband,Saharanpur,67.85,BJP,Th. Brijesh Singh,38.77,SP,Kartikeya Rana,35.83,7104.0,2.940000000000005,12.59,9.649999999999995,False,94.11999999999999,69.29999999999998,0.0
148,370,Mariyahu,Jaunpur,67.8,AD(S),R.K. Patel,39.25,SP,Sushma Patel,38.62,1206.0,0.6300000000000026,6.350000000000001,5.719999999999999,False,98.74,61.44,0.0
149,39,Dhanaura (SC),Amroha,67.77,BJP,Rajeev Tarara,42.29,SP,Vivek Singh,37.6,11425.0,4.689999999999998,17.120000000000005,12.430000000000007,False,90.62,74.86000000000001,0.0
150,108,Bhongaon,Mainpuri,67.73,BJP,Ram Naresh Agnihotri,45.18,SP,Alok Shakya,42.97,4767.0,2.210000000000001,10.439999999999998,8.229999999999997,False,95.58,66.46,0.0
151,140,Sri Nagar (SC),Lakhimpur Kheri,67.65,BJP,Manju Tyagi,47.21,SP,Ram Sharan,39.53,17608.0,7.68,24.89,17.21,False,84.64,84.42,0.0
152,185,Gauriganj,Amethi,67.44,SP,Rakesh Pratap Singh,38.96,BJP,Chandraprakash Mishra,35.53,6963.0,3.4299999999999997,13.219999999999995,9.789999999999996,False,93.14,69.57999999999998,0.0
153,200,Etawah,Etawah,67.12,BJP,Sarita Bhadauria,39.97,SP,Sarvesh Kumar Shakya,38.35,3984.0,1.6199999999999974,7.859999999999999,6.240000000000002,False,96.76,62.480000000000004,0.0
154,282,Balha (SC),Bahraich,66.7,BJP,Saroj Sonkar,46.78,SP,Akshaybar Nath Kanaujiya,39.06,16573.0,7.719999999999999,23.419999999999998,15.7,False,84.56,81.4,0.0
155,349,Phoolpur Pawai,Azamgarh,66.53,SP,Ramakant Yadav,42.0,BJP,Ramsurat Rajbhar,28.91,25306.0,13.09,4.130000000000003,-8.959999999999997,True,73.82,32.080000000000005,100.0
156,210,Bithoor,Kanpur Nagar,66.51,BJP,Abhijeet Singh Sanga,44.46,SP,Munendra Shukla,35.73,21073.0,8.730000000000004,25.799999999999997,17.069999999999993,False,82.53999999999999,84.13999999999999,0.0
157,355,Muhammadabad-Gohna (SC),Mau,66.46,SP,Rajendra Kumar,41.48,BJP,Smt. Poonam Saroj,29.8,26649.0,11.679999999999996,0.25,-11.429999999999996,True,76.64000000000001,27.140000000000008,100.0
158,393,Gyanpur,Bhadohi,66.22,NISHAD,Vipul Dubey,34.12,SP,Ram Kishore Bind,31.23,6231.0,2.889999999999997,9.739999999999998,6.850000000000001,False,94.22,63.7,0.0
159,103,Aliganj,Etah,66.18,BJP,Satyapal Singh Rathore,45.44,SP,Rameshwar Singh Yadav,43.76,3810.0,1.6799999999999997,6.439999999999998,4.759999999999998,False,96.64,59.519999999999996,0.0
160,187,Isauli,Sultanpur,66.14,SP,Mohammad Tahir Khan,34.34,BJP,Om Prakash Pandey,34.21,269.0,0.13000000000000256,2.240000000000002,2.1099999999999994,False,99.74,54.22,0.0
161,168,Malihabad (SC),Lucknow,65.87,BJP,Jai Devi,44.15,SP,Surendra Kumar,40.93,7745.0,3.219999999999999,10.030000000000001,6.810000000000002,False,93.56,63.620000000000005,0.0
162,2,Nakur,Saharanpur,65.76,BJP,Mukesh Choudhary,38.47,SP,Dharam Singh Saini,38.35,315.0,0.11999999999999744,1.5899999999999963,1.4699999999999989,False,99.76,52.94,0.0
163,117,Dataganj,Budaun,65.55,BJP,Rajeev Kumar Singh,45.34,SP,Arjun Singh,41.35,9476.0,3.990000000000002,11.559999999999999,7.569999999999997,False,92.02,65.13999999999999,0.0
164,38,Milak (SC),Rampur,65.47,BJP,Rajbala,43.11,SP,Vijay Singh,40.5,5912.0,2.6099999999999994,7.75,5.140000000000001,False,94.78,60.28,0.0
165,28,Moradabad Nagar,Moradabad,65.31,BJP,Ritesh Kumar Gupta,46.12,SP,Mohd Yusuf Ansari,45.88,782.0,0.23999999999999488,1.1499999999999986,0.9100000000000037,False,99.52000000000001,51.82000000000001,0.0
166,275,Ayodhya,Ayodhya,65.19,BJP,Ved Prakash Gupta,49.04,SP,Tej Narayan Pandey,40.4,19990.0,8.64,23.360000000000003,14.720000000000002,False,82.72,79.44,0.0
167,356,Mau,Mau,65.12,SBSP,Abbas Ansari,44.69,BJP,Ashok Singh,31.03,38116.0,13.659999999999997,3.289999999999999,-10.369999999999997,True,72.68,29.260000000000005,100.0
168,16,Meerapur,Muzaffarnagar,64.85,RLD,Chandan Chauhan,49.57,BJP,Prashant Chaudhary,36.94,27380.0,12.630000000000003,0.09000000000000341,-12.54,True,74.74,24.92,100.0
169,364,Badlapur,Jaunpur,64.73,BJP,Ramesh Chandra Mishra,39.72,SP,Baba Dubey,39.08,1326.0,0.6400000000000006,1.259999999999998,0.6199999999999974,False,98.72,51.239999999999995,0.0
170,329,Khadda,Kushinagar,64.58,NISHAD,Vivekanand Pandey,43.08,IND,Vijay Pratap Kushwaha,22.85,41451.0,20.229999999999997,19.919999999999998,-0.3099999999999987,True,59.540000000000006,49.38,100.0
171,59,Hapur (SC),Hapur,64.5,BJP,Vijay Pal Aadthi,39.69,RLD,Gajraj Singh,36.84,7034.0,2.8499999999999943,6.770000000000003,3.920000000000009,False,94.30000000000001,57.84000000000002,0.0
172,400,Ghorawal,Sonbhadra,64.5,BJP,Anil Kumar Maurya,40.46,SP,Ramesh Chandra Dubey,30.9,23922.0,9.560000000000002,24.66,15.099999999999998,False,80.88,80.19999999999999,0.0
173,150,Sevata,Sitapur,64.46,BJP,Gyan Tiwari,47.43,SP,Mahendra Kumar Singh,39.34,20438.0,8.089999999999996,20.68,12.590000000000003,False,83.82000000000001,75.18,0.0
174,346,Mubarakpur,Azamgarh,64.43,SP,Akhilesh Yadav,36.02,BJP,Arvind Jaiswal,23.03,29103.0,12.990000000000002,0.35999999999999943,-12.630000000000003,True,74.02,24.739999999999995,100.0
175,294,Balrampur (SC),Balrampur,64.36,BJP,Paltu Ram,48.93,SP,Jagram Paswan,43.62,10971.0,5.310000000000002,13.089999999999996,7.779999999999994,False,89.38,65.55999999999999,0.0
176,383,Chakia (SC),Chandauli,64.2,BJP,Kailash Kharwar,39.63,SP,Jitendra Kumar,35.88,9251.0,3.75,8.669999999999995,4.919999999999995,False,92.5,59.83999999999999,0.0
177,290,Shrawasti,Shrawasti,64.19,BJP,Ram Feran Pandey,38.98,SP,Mohhamad Aslam Rainee,38.4,1457.0,0.5799999999999983,0.18999999999999773,-0.39000000000000057,False,98.84,49.22,0.0
178,286,Bahraich,Bahraich,64.09,BJP,Anupma Jaiswal,46.45,SP,Yasar Shah,44.69,4078.0,1.7600000000000051,3.1799999999999997,1.4199999999999946,False,96.47999999999999,52.83999999999999,0.0
179,158,Sandi (SC),Hardoi,64.04,BJP,Prabhash Kumar,41.7,SP,Usha Verma,36.97,9233.0,4.730000000000004,11.02,6.289999999999996,False,90.53999999999999,62.57999999999999,0.0
180,135,Shahjahanpur,Shahjahanpur,63.98,BJP,Suresh Kumar Khanna,48.98,SP,Tanveer Khan,44.83,9313.0,4.149999999999999,9.370000000000005,5.220000000000006,False,91.7,60.44000000000001,0.0
